nohup: ignoring input
mnist_cnn.py:26: DeprecationWarning: The binary mode of fromstring is deprecated, as it behaves surprisingly on unicode inputs. Use frombuffer instead
  label = np.fromstring(flbl.read(), dtype=np.int8)
mnist_cnn.py:29: DeprecationWarning: The binary mode of fromstring is deprecated, as it behaves surprisingly on unicode inputs. Use frombuffer instead
  image = np.fromstring(fimg.read(), dtype=np.uint8).reshape(len(label), rows, cols)
INFO:root:Epoch[1] Batch [30]	Speed: 97.68 samples/sec	accuracy=0.911000
INFO:root:Epoch[1] Batch [35]	Speed: 95.88 samples/sec	accuracy=0.906000
INFO:root:Epoch[1] Batch [40]	Speed: 95.72 samples/sec	accuracy=0.927000
INFO:root:Epoch[1] Batch [45]	Speed: 92.91 samples/sec	accuracy=0.919000
INFO:root:Epoch[1] Batch [50]	Speed: 97.56 samples/sec	accuracy=0.915000
INFO:root:Epoch[1] Batch [55]	Speed: 95.66 samples/sec	accuracy=0.910000
INFO:root:Epoch[1] Batch [60]	Speed: 97.23 samples/sec	accuracy=0.926000
INFO:root:Epoch[1] Batch [65]	Speed: 95.82 samples/sec	accuracy=0.922000
INFO:root:Epoch[1] Batch [70]	Speed: 95.73 samples/sec	accuracy=0.938000
INFO:root:Epoch[1] Batch [75]	Speed: 96.49 samples/sec	accuracy=0.924000
INFO:root:Epoch[1] Batch [80]	Speed: 97.08 samples/sec	accuracy=0.915000
INFO:root:Epoch[1] Batch [85]	Speed: 110.68 samples/sec	accuracy=0.917000
INFO:root:Epoch[1] Batch [90]	Speed: 94.94 samples/sec	accuracy=0.933000
INFO:root:Epoch[1] Batch [95]	Speed: 96.91 samples/sec	accuracy=0.919000
INFO:root:Epoch[1] Batch [100]	Speed: 96.37 samples/sec	accuracy=0.936000
INFO:root:Epoch[1] Batch [105]	Speed: 96.18 samples/sec	accuracy=0.936000
INFO:root:Epoch[1] Batch [110]	Speed: 94.99 samples/sec	accuracy=0.917000
INFO:root:Epoch[1] Batch [115]	Speed: 96.57 samples/sec	accuracy=0.928000
INFO:root:Epoch[1] Batch [120]	Speed: 98.65 samples/sec	accuracy=0.924000
INFO:root:Epoch[1] Batch [125]	Speed: 95.81 samples/sec	accuracy=0.927000
INFO:root:Epoch[1] Batch [130]	Speed: 95.65 samples/sec	accuracy=0.923000
