nohup: ignoring input
About to start MNIST BNN
2018-10-23_02:52:54
mnist_cnn.py:26: DeprecationWarning: The binary mode of fromstring is deprecated, as it behaves surprisingly on unicode inputs. Use frombuffer instead
  label = np.fromstring(flbl.read(), dtype=np.int8)
mnist_cnn.py:29: DeprecationWarning: The binary mode of fromstring is deprecated, as it behaves surprisingly on unicode inputs. Use frombuffer instead
  image = np.fromstring(fimg.read(), dtype=np.uint8).reshape(len(label), rows, cols)
INFO:root:Epoch[1] Batch [30]	Speed: 106.79 samples/sec	accuracy=0.928000
INFO:root:Epoch[1] Batch [35]	Speed: 105.25 samples/sec	accuracy=0.934000
INFO:root:Epoch[1] Batch [40]	Speed: 109.00 samples/sec	accuracy=0.926000
INFO:root:Epoch[1] Batch [45]	Speed: 109.47 samples/sec	accuracy=0.920000
INFO:root:Epoch[1] Batch [50]	Speed: 110.07 samples/sec	accuracy=0.908000
INFO:root:Epoch[1] Batch [55]	Speed: 108.39 samples/sec	accuracy=0.918000
INFO:root:Epoch[1] Batch [60]	Speed: 108.24 samples/sec	accuracy=0.930000
INFO:root:Epoch[1] Batch [65]	Speed: 110.32 samples/sec	accuracy=0.919000
INFO:root:Epoch[1] Batch [70]	Speed: 110.40 samples/sec	accuracy=0.931000
INFO:root:Epoch[1] Batch [75]	Speed: 104.92 samples/sec	accuracy=0.932000
INFO:root:Epoch[1] Batch [80]	Speed: 107.15 samples/sec	accuracy=0.915000
INFO:root:Epoch[1] Batch [85]	Speed: 108.07 samples/sec	accuracy=0.933000
INFO:root:Epoch[1] Batch [90]	Speed: 111.29 samples/sec	accuracy=0.923000
INFO:root:Epoch[1] Batch [95]	Speed: 109.03 samples/sec	accuracy=0.914000
INFO:root:Epoch[1] Batch [100]	Speed: 106.39 samples/sec	accuracy=0.926000
INFO:root:Epoch[1] Batch [105]	Speed: 108.46 samples/sec	accuracy=0.931000
INFO:root:Epoch[1] Batch [110]	Speed: 110.03 samples/sec	accuracy=0.941000
INFO:root:Epoch[1] Batch [115]	Speed: 107.25 samples/sec	accuracy=0.943000
INFO:root:Epoch[1] Batch [120]	Speed: 106.88 samples/sec	accuracy=0.936000
INFO:root:Epoch[1] Batch [125]	Speed: 109.31 samples/sec	accuracy=0.930000
INFO:root:Epoch[1] Batch [130]	Speed: 110.52 samples/sec	accuracy=0.925000
INFO:root:Epoch[1] Batch [135]	Speed: 109.47 samples/sec	accuracy=0.926000
INFO:root:Epoch[1] Batch [140]	Speed: 112.32 samples/sec	accuracy=0.926000
INFO:root:Epoch[1] Batch [145]	Speed: 109.53 samples/sec	accuracy=0.922000
INFO:root:Epoch[1] Batch [150]	Speed: 111.96 samples/sec	accuracy=0.914000
INFO:root:Epoch[1] Batch [155]	Speed: 108.68 samples/sec	accuracy=0.930000
INFO:root:Epoch[1] Batch [160]	Speed: 112.68 samples/sec	accuracy=0.916000
INFO:root:Epoch[1] Batch [165]	Speed: 109.09 samples/sec	accuracy=0.897000
INFO:root:Epoch[1] Batch [170]	Speed: 108.88 samples/sec	accuracy=0.918000
INFO:root:Epoch[1] Batch [175]	Speed: 110.89 samples/sec	accuracy=0.935000
INFO:root:Epoch[1] Batch [180]	Speed: 107.28 samples/sec	accuracy=0.923000
INFO:root:Epoch[1] Batch [185]	Speed: 108.57 samples/sec	accuracy=0.921000
INFO:root:Epoch[1] Batch [190]	Speed: 108.71 samples/sec	accuracy=0.931000
INFO:root:Epoch[1] Batch [195]	Speed: 111.61 samples/sec	accuracy=0.928000
INFO:root:Epoch[1] Batch [200]	Speed: 109.52 samples/sec	accuracy=0.933000
INFO:root:Epoch[1] Batch [205]	Speed: 108.76 samples/sec	accuracy=0.929000
INFO:root:Epoch[1] Batch [210]	Speed: 108.01 samples/sec	accuracy=0.932000
INFO:root:Epoch[1] Batch [215]	Speed: 109.58 samples/sec	accuracy=0.919000
INFO:root:Epoch[1] Batch [220]	Speed: 109.65 samples/sec	accuracy=0.923000
INFO:root:Epoch[1] Batch [225]	Speed: 108.64 samples/sec	accuracy=0.928000
