HNodes, LRate, Epochs, Error, Diff, STime, ETime
5 , 0.01 , 8 , 0.5209 , 0:16:04.975723 , 2018-03-16 02:26:32.037540 , 2018-03-16 02:42:37.013263
5 , 0.01 , 13 , 0.8215 , 0:26:04.806781 , 2018-03-16 02:42:39.345120 , 2018-03-16 03:08:44.151901
5 , 0.1 , 3 , 0.7111 , 0:06:13.645934 , 2018-03-16 03:08:46.474655 , 2018-03-16 03:15:00.120589
5 , 0.1 , 5 , 0.7593 , 0:10:08.104653 , 2018-03-16 03:15:02.456880 , 2018-03-16 03:25:10.561533
5 , 0.1 , 8 , 0.6823 , 0:15:57.349202 , 2018-03-16 03:25:12.894190 , 2018-03-16 03:41:10.243392
5 , 0.1 , 13 , 0.7231 , 0:26:01.300678 , 2018-03-16 03:41:12.494512 , 2018-03-16 04:07:13.795190
10 , 0.001 , 3 , 0.66 , 0:06:40.465948 , 2018-03-16 04:07:16.217253 , 2018-03-16 04:13:56.683201
10 , 0.001 , 5 , 0.7645 , 0:10:39.935390 , 2018-03-16 04:13:59.010505 , 2018-03-16 04:24:38.945895
10 , 0.001 , 8 , 0.804 , 0:17:07.451948 , 2018-03-16 04:24:41.279016 , 2018-03-16 04:41:48.730964
10 , 0.001 , 13 , 0.8578 , 0:27:18.483832 , 2018-03-16 04:41:51.101282 , 2018-03-16 05:09:09.585114
10 , 0.01 , 3 , 0.8881 , 0:06:29.376973 , 2018-03-16 05:09:11.955409 , 2018-03-16 05:15:41.332382
10 , 0.01 , 5 , 0.8916 , 0:10:47.671195 , 2018-03-16 05:15:43.623165 , 2018-03-16 05:26:31.294360
10 , 0.01 , 8 , 0.8938 , 0:17:08.255353 , 2018-03-16 05:26:33.546426 , 2018-03-16 05:43:41.801779
10 , 0.01 , 13 , 0.9094 , 0:27:09.153236 , 2018-03-16 05:43:44.093161 , 2018-03-16 06:10:53.246397
10 , 0.1 , 3 , 0.8836 , 0:06:35.370923 , 2018-03-16 06:10:55.615032 , 2018-03-16 06:17:30.985955
10 , 0.1 , 5 , 0.904 , 0:12:21.099550 , 2018-03-16 06:17:33.356500 , 2018-03-16 06:29:54.456050
10 , 0.1 , 8 , 0.8902 , 0:15:40.616058 , 2018-03-16 06:29:56.826701 , 2018-03-16 06:45:37.442759
10 , 0.1 , 13 , 0.9076 , 0:27:33.302178 , 2018-03-16 06:45:39.651023 , 2018-03-16 07:13:12.953201
20 , 0.001 , 3 , 0.8235 , 0:07:26.404520 , 2018-03-16 07:13:15.321642 , 2018-03-16 07:20:41.726162
20 , 0.001 , 5 , 0.8783 , 0:12:05.510347 , 2018-03-16 07:20:44.144941 , 2018-03-16 07:32:49.655288
20 , 0.001 , 8 , 0.8862 , 0:19:34.321885 , 2018-03-16 07:32:51.910165 , 2018-03-16 07:52:26.232050
20 , 0.001 , 13 , 0.9103 , 0:31:07.324142 , 2018-03-16 07:52:28.560259 , 2018-03-16 08:23:35.884401
20 , 0.01 , 3 , 0.9166 , 0:06:30.134502 , 2018-03-16 08:23:38.179944 , 2018-03-16 08:30:08.314446
20 , 0.01 , 5 , 0.9293 , 0:11:34.441300 , 2018-03-16 08:30:08.607732 , 2018-03-16 08:41:43.049032
20 , 0.01 , 8 , 0.9249 , 0:19:19.476758 , 2018-03-16 08:41:45.296864 , 2018-03-16 09:01:04.773622
20 , 0.01 , 13 , 0.9308 , 0:31:28.688760 , 2018-03-16 09:01:07.144538 , 2018-03-16 09:32:35.833298
20 , 0.1 , 3 , 0.9179 , 0:07:25.745480 , 2018-03-16 09:32:38.202381 , 2018-03-16 09:40:03.947861
20 , 0.1 , 5 , 0.9268 , 0:12:22.076050 , 2018-03-16 09:40:06.282110 , 2018-03-16 09:52:28.358160
20 , 0.1 , 8 , 0.9248 , 0:19:26.826848 , 2018-03-16 09:52:30.644775 , 2018-03-16 10:11:57.471623
20 , 0.1 , 13 , 0.9295 , 0:24:36.153564 , 2018-03-16 10:11:59.715562 , 2018-03-16 10:36:35.869126
50 , 0.001 , 3 , 0.8802 , 0:09:59.229631 , 2018-03-16 10:36:38.244040 , 2018-03-16 10:46:37.473671
50 , 0.001 , 5 , 0.8951 , 0:16:19.482810 , 2018-03-16 10:46:39.759008 , 2018-03-16 11:02:59.241818
50 , 0.001 , 8 , 0.9093 , 0:26:02.301805 , 2018-03-16 11:03:01.610934 , 2018-03-16 11:29:03.912739
50 , 0.001 , 13 , 0.9212 , 0:41:49.812550 , 2018-03-16 11:29:06.163197 , 2018-03-16 12:10:55.975747
50 , 0.01 , 3 , 0.9323 , 0:10:12.703166 , 2018-03-16 12:10:58.263816 , 2018-03-16 12:21:10.966982
50 , 0.01 , 5 , 0.9425 , 0:16:35.723421 , 2018-03-16 12:21:13.338766 , 2018-03-16 12:37:49.062187
50 , 0.01 , 8 , 0.9512 , 0:26:23.149258 , 2018-03-16 12:37:51.309563 , 2018-03-16 13:04:14.458821
50 , 0.01 , 13 , 0.9579 , 0:42:23.635681 , 2018-03-16 13:04:16.909136 , 2018-03-16 13:46:40.544817
50 , 0.1 , 3 , 0.9497 , 0:09:59.899267 , 2018-03-16 13:46:42.911283 , 2018-03-16 13:56:42.810550
50 , 0.1 , 5 , 0.954 , 0:16:29.528032 , 2018-03-16 13:56:45.096621 , 2018-03-16 14:13:14.624653
50 , 0.1 , 8 , 0.9538 , 0:26:08.616749 , 2018-03-16 14:13:16.992973 , 2018-03-16 14:39:25.609722
50 , 0.1 , 13 , 0.9547 , 0:42:18.988461 , 2018-03-16 14:39:27.900017 , 2018-03-16 15:21:46.888478
100 , 0.001 , 3 , 0.8834 , 0:13:48.102813 , 2018-03-16 15:21:49.135971 , 2018-03-16 15:35:37.238784
100 , 0.001 , 5 , 0.9005 , 0:22:44.610210 , 2018-03-16 15:35:39.528049 , 2018-03-16 15:58:24.138259
100 , 0.001 , 8 , 0.9124 , 0:36:14.388137 , 2018-03-16 15:58:26.344546 , 2018-03-16 16:34:40.732683
100 , 0.001 , 13 , 0.925 , 0:58:43.796700 , 2018-03-16 16:34:43.060854 , 2018-03-16 17:33:26.857554
100 , 0.01 , 3 , 0.9411 , 0:13:51.868130 , 2018-03-16 17:33:29.268670 , 2018-03-16 17:47:21.136800
100 , 0.01 , 5 , 0.9511 , 0:22:49.472597 , 2018-03-16 17:47:23.464236 , 2018-03-16 18:10:12.936833
100 , 0.01 , 8 , 0.9616 , 0:34:47.416964 , 2018-03-16 18:10:15.350100 , 2018-03-16 18:45:02.767064
100 , 0.01 , 13 , 0.965 , 0:59:17.851423 , 2018-03-16 18:45:05.220434 , 2018-03-16 19:44:23.071857
100 , 0.1 , 3 , 0.9636 , 0:13:46.139493 , 2018-03-16 19:44:25.403373 , 2018-03-16 19:58:11.542866
100 , 0.1 , 5 , 0.9647 , 0:22:00.193470 , 2018-03-16 19:58:13.833803 , 2018-03-16 20:20:14.027273
100 , 0.1 , 8 , 0.9666 , 0:35:24.207029 , 2018-03-16 20:20:14.225433 , 2018-03-16 20:55:38.432462
100 , 0.1 , 13 , 0.9681 , 0:59:07.980760 , 2018-03-16 20:55:40.681372 , 2018-03-16 21:54:48.662132
5 , 0.001 , 3 , 0.3173 , 0:00:36.384886 , 2018-03-17 22:32:25.911058 , 2018-03-17 22:33:02.295944
5 , 0.001 , 5 , 0.4673 , 0:00:57.895274 , 2018-03-17 22:33:02.506106 , 2018-03-17 22:34:00.401380
5 , 0.001 , 8 , 0.3652 , 0:01:32.811509 , 2018-03-17 22:34:00.597407 , 2018-03-17 22:35:33.408916
5 , 0.001 , 13 , 0.5723 , 0:02:33.480123 , 2018-03-17 22:35:33.604343 , 2018-03-17 22:38:07.084466
5 , 0.01 , 3 , 0.5959 , 0:00:36.415535 , 2018-03-17 22:38:07.280348 , 2018-03-17 22:38:43.695883
5 , 0.01 , 5 , 0.7566 , 0:00:58.929526 , 2018-03-17 22:38:43.894136 , 2018-03-17 22:39:42.823662
5 , 0.01 , 8 , 0.7323 , 0:01:32.525382 , 2018-03-17 22:39:43.024799 , 2018-03-17 22:41:15.550181
5 , 0.01 , 13 , 0.7503 , 0:02:29.260133 , 2018-03-17 22:41:15.744573 , 2018-03-17 22:43:45.004706
5 , 0.1 , 3 , 0.7078 , 0:00:36.990236 , 2018-03-17 22:43:45.208163 , 2018-03-17 22:44:22.198399
5 , 0.1 , 5 , 0.778 , 0:00:59.539634 , 2018-03-17 22:44:22.399385 , 2018-03-17 22:45:21.939019
5 , 0.1 , 8 , 0.7444 , 0:01:33.575927 , 2018-03-17 22:45:22.139659 , 2018-03-17 22:46:55.715586
5 , 0.1 , 13 , 0.7879 , 0:02:32.406922 , 2018-03-17 22:46:55.911185 , 2018-03-17 22:49:28.318107
10 , 0.001 , 3 , 0.7094 , 0:00:38.796018 , 2018-03-17 22:49:28.517428 , 2018-03-17 22:50:07.313446
10 , 0.001 , 5 , 0.7426 , 0:01:01.707583 , 2018-03-17 22:50:07.515225 , 2018-03-17 22:51:09.222808
10 , 0.001 , 8 , 0.8677 , 0:01:37.861328 , 2018-03-17 22:51:09.420153 , 2018-03-17 22:52:47.281481
10 , 0.001 , 13 , 0.863 , 0:02:37.203336 , 2018-03-17 22:52:47.478097 , 2018-03-17 22:55:24.681433
10 , 0.01 , 3 , 0.8628 , 0:00:38.144343 , 2018-03-17 22:55:24.879119 , 2018-03-17 22:56:03.023462
10 , 0.01 , 5 , 0.8953 , 0:01:03.365033 , 2018-03-17 22:56:03.221971 , 2018-03-17 22:57:06.587004
10 , 0.01 , 8 , 0.8413 , 0:01:38.007706 , 2018-03-17 22:57:06.784011 , 2018-03-17 22:58:44.791717
10 , 0.01 , 13 , 0.9026 , 0:02:37.621574 , 2018-03-17 22:58:44.991988 , 2018-03-17 23:01:22.613562
10 , 0.1 , 3 , 0.8846 , 0:00:38.557654 , 2018-03-17 23:01:22.814060 , 2018-03-17 23:02:01.371714
10 , 0.1 , 5 , 0.8909 , 0:01:01.838293 , 2018-03-17 23:02:01.601499 , 2018-03-17 23:03:03.439792
10 , 0.1 , 8 , 0.8975 , 0:01:39.473762 , 2018-03-17 23:03:03.642941 , 2018-03-17 23:04:43.116703
10 , 0.1 , 13 , 0.8936 , 0:02:38.112784 , 2018-03-17 23:04:43.315771 , 2018-03-17 23:07:21.428555
20 , 0.001 , 3 , 0.8485 , 0:00:42.832449 , 2018-03-17 23:07:21.628853 , 2018-03-17 23:08:04.461302
20 , 0.001 , 5 , 0.868 , 0:01:11.058277 , 2018-03-17 23:08:04.660365 , 2018-03-17 23:09:15.718642
20 , 0.001 , 8 , 0.895 , 0:01:53.157083 , 2018-03-17 23:09:15.918186 , 2018-03-17 23:11:09.075269
20 , 0.001 , 13 , 0.9102 , 0:03:02.073030 , 2018-03-17 23:11:09.273495 , 2018-03-17 23:14:11.346525
20 , 0.01 , 3 , 0.915 , 0:00:42.876627 , 2018-03-17 23:14:11.548513 , 2018-03-17 23:14:54.425140
20 , 0.01 , 5 , 0.9233 , 0:01:09.896190 , 2018-03-17 23:14:54.626359 , 2018-03-17 23:16:04.522549
20 , 0.01 , 8 , 0.9234 , 0:01:51.636031 , 2018-03-17 23:16:04.717562 , 2018-03-17 23:17:56.353593
20 , 0.01 , 13 , 0.9319 , 0:02:59.851805 , 2018-03-17 23:17:56.550567 , 2018-03-17 23:20:56.402372
20 , 0.1 , 3 , 0.9227 , 0:00:43.690301 , 2018-03-17 23:20:56.598542 , 2018-03-17 23:21:40.288843
20 , 0.1 , 5 , 0.9203 , 0:01:09.530508 , 2018-03-17 23:21:40.489050 , 2018-03-17 23:22:50.019558
20 , 0.1 , 8 , 0.9341 , 0:01:52.818262 , 2018-03-17 23:22:50.222227 , 2018-03-17 23:24:43.040489
20 , 0.1 , 13 , 0.9291 , 0:02:59.858606 , 2018-03-17 23:24:43.237474 , 2018-03-17 23:27:43.096080
50 , 0.001 , 3 , 0.8817 , 0:01:01.035549 , 2018-03-17 23:27:43.293709 , 2018-03-17 23:28:44.329258
50 , 0.001 , 5 , 0.8957 , 0:01:34.002832 , 2018-03-17 23:28:44.529348 , 2018-03-17 23:30:18.532180
50 , 0.001 , 8 , 0.9117 , 0:02:28.464057 , 2018-03-17 23:30:18.731593 , 2018-03-17 23:32:47.195650
50 , 0.001 , 13 , 0.9178 , 0:04:00.446168 , 2018-03-17 23:32:47.395229 , 2018-03-17 23:36:47.841397
50 , 0.01 , 3 , 0.9353 , 0:00:58.735329 , 2018-03-17 23:36:48.040139 , 2018-03-17 23:37:46.775468
50 , 0.01 , 5 , 0.9454 , 0:01:33.588405 , 2018-03-17 23:37:46.975030 , 2018-03-17 23:39:20.563435
50 , 0.01 , 8 , 0.9505 , 0:02:30.060326 , 2018-03-17 23:39:20.758407 , 2018-03-17 23:41:50.818733
50 , 0.01 , 13 , 0.9552 , 0:04:01.916014 , 2018-03-17 23:41:51.016236 , 2018-03-17 23:45:52.932250
50 , 0.1 , 3 , 0.9529 , 0:00:56.747759 , 2018-03-17 23:45:53.127048 , 2018-03-17 23:46:49.874807
50 , 0.1 , 5 , 0.9541 , 0:01:34.882308 , 2018-03-17 23:46:50.072282 , 2018-03-17 23:48:24.954590
50 , 0.1 , 8 , 0.9564 , 0:02:30.061346 , 2018-03-17 23:48:25.155783 , 2018-03-17 23:50:55.217129
50 , 0.1 , 13 , 0.9547 , 0:03:59.880608 , 2018-03-17 23:50:55.413276 , 2018-03-17 23:54:55.293884
100 , 0.001 , 3 , 0.885 , 0:01:19.277030 , 2018-03-17 23:54:55.492314 , 2018-03-17 23:56:14.769344
100 , 0.001 , 5 , 0.9023 , 0:02:09.904911 , 2018-03-17 23:56:14.968977 , 2018-03-17 23:58:24.873888
100 , 0.001 , 8 , 0.9113 , 0:03:25.933390 , 2018-03-17 23:58:25.073017 , 2018-03-18 00:01:51.006407
100 , 0.001 , 13 , 0.9248 , 0:05:30.348577 , 2018-03-18 00:01:51.204496 , 2018-03-18 00:07:21.553073
100 , 0.01 , 3 , 0.9389 , 0:01:18.268724 , 2018-03-18 00:07:21.747879 , 2018-03-18 00:08:40.016603
100 , 0.01 , 5 , 0.9508 , 0:02:10.023018 , 2018-03-18 00:08:40.216824 , 2018-03-18 00:10:50.239842
100 , 0.01 , 8 , 0.9625 , 0:03:27.519485 , 2018-03-18 00:10:50.437539 , 2018-03-18 00:14:17.957024
100 , 0.01 , 13 , 0.9658 , 0:05:30.089621 , 2018-03-18 00:14:18.157918 , 2018-03-18 00:19:48.247539
100 , 0.1 , 3 , 0.9667 , 0:01:18.789295 , 2018-03-18 00:19:48.444402 , 2018-03-18 00:21:07.233697
100 , 0.1 , 5 , 0.9666 , 0:02:08.706687 , 2018-03-18 00:21:07.431731 , 2018-03-18 00:23:16.138418
100 , 0.1 , 8 , 0.9684 , 0:03:24.639774 , 2018-03-18 00:23:16.335733 , 2018-03-18 00:26:40.975507
100 , 0.1 , 13 , 0.9677 , 0:05:32.253191 , 2018-03-18 00:26:41.172218 , 2018-03-18 00:32:13.425409
5 , 0.001 , 3 , 0.3048 , 0:00:35.697767 , 2018-03-18 00:32:13.633011 , 2018-03-18 00:32:49.330778
5 , 0.001 , 5 , 0.5386 , 0:01:00.133920 , 2018-03-18 00:32:49.533594 , 2018-03-18 00:33:49.667514
5 , 0.001 , 8 , 0.4864 , 0:01:35.363729 , 2018-03-18 00:33:49.870300 , 2018-03-18 00:35:25.234029
5 , 0.001 , 13 , 0.5303 , 0:02:31.210077 , 2018-03-18 00:35:25.428965 , 2018-03-18 00:37:56.639042
5 , 0.01 , 3 , 0.7028 , 0:00:36.022895 , 2018-03-18 00:37:56.838188 , 2018-03-18 00:38:32.861083
5 , 0.01 , 5 , 0.5773 , 0:00:59.305348 , 2018-03-18 00:38:33.062125 , 2018-03-18 00:39:32.367473
5 , 0.01 , 8 , 0.6662 , 0:01:32.379699 , 2018-03-18 00:39:32.565968 , 2018-03-18 00:41:04.945667
5 , 0.01 , 13 , 0.5861 , 0:02:28.282229 , 2018-03-18 00:41:05.148970 , 2018-03-18 00:43:33.431199
5 , 0.1 , 3 , 0.6864 , 0:00:36.497420 , 2018-03-18 00:43:33.628334 , 2018-03-18 00:44:10.125754
5 , 0.1 , 5 , 0.6899 , 0:00:58.708312 , 2018-03-18 00:44:10.330363 , 2018-03-18 00:45:09.038675
5 , 0.1 , 8 , 0.7929 , 0:01:33.608296 , 2018-03-18 00:45:09.243693 , 2018-03-18 00:46:42.851989
5 , 0.1 , 13 , 0.8267 , 0:02:29.885870 , 2018-03-18 00:46:43.049710 , 2018-03-18 00:49:12.935580
10 , 0.001 , 3 , 0.611 , 0:00:39.013425 , 2018-03-18 00:49:13.130717 , 2018-03-18 00:49:52.144142
10 , 0.001 , 5 , 0.8059 , 0:01:03.637066 , 2018-03-18 00:49:52.345358 , 2018-03-18 00:50:55.982424
10 , 0.001 , 8 , 0.8154 , 0:01:38.388629 , 2018-03-18 00:50:56.182274 , 2018-03-18 00:52:34.570903
10 , 0.001 , 13 , 0.874 , 0:02:37.319272 , 2018-03-18 00:52:34.769723 , 2018-03-18 00:55:12.088995
10 , 0.01 , 3 , 0.8694 , 0:00:38.486023 , 2018-03-18 00:55:12.289917 , 2018-03-18 00:55:50.775940
10 , 0.01 , 5 , 0.8893 , 0:01:02.625897 , 2018-03-18 00:55:50.976325 , 2018-03-18 00:56:53.602222
10 , 0.01 , 8 , 0.8811 , 0:01:38.539920 , 2018-03-18 00:56:53.805380 , 2018-03-18 00:58:32.345300
10 , 0.01 , 13 , 0.9005 , 0:02:37.233790 , 2018-03-18 00:58:32.547160 , 2018-03-18 01:01:09.780950
10 , 0.1 , 3 , 0.8867 , 0:00:39.152162 , 2018-03-18 01:01:09.983221 , 2018-03-18 01:01:49.135383
10 , 0.1 , 5 , 0.8922 , 0:01:02.063835 , 2018-03-18 01:01:49.341566 , 2018-03-18 01:02:51.405401
10 , 0.1 , 8 , 0.9026 , 0:01:39.044579 , 2018-03-18 01:02:51.604115 , 2018-03-18 01:04:30.648694
10 , 0.1 , 13 , 0.907 , 0:17:09.637574 , 2018-03-18 01:04:30.849463 , 2018-03-18 01:21:40.487037
20 , 0.001 , 3 , 0.8533 , 0:07:25.357248 , 2018-03-18 01:21:42.776617 , 2018-03-18 01:29:08.133865
20 , 0.001 , 5 , 0.8643 , 0:10:34.787990 , 2018-03-18 01:29:10.505726 , 2018-03-18 01:39:45.293716
20 , 0.001 , 8 , 0.9015 , 0:19:14.305674 , 2018-03-18 01:39:47.583171 , 2018-03-18 01:59:01.888845
20 , 0.001 , 13 , 0.9056 , 0:30:51.205648 , 2018-03-18 01:59:04.264600 , 2018-03-18 02:29:55.470248
20 , 0.01 , 3 , 0.9153 , 0:07:24.515669 , 2018-03-18 02:29:57.796496 , 2018-03-18 02:37:22.312165
20 , 0.01 , 5 , 0.9275 , 0:12:25.797272 , 2018-03-18 02:37:24.597473 , 2018-03-18 02:49:50.394745
20 , 0.01 , 8 , 0.9262 , 0:19:08.461429 , 2018-03-18 02:49:52.644576 , 2018-03-18 03:09:01.106005
